Sistema Termodinámico Controlado
Comandos:
1/0 - Encender/Apagar foco
2/3 - Encender/Apagar ventilador
SXX.X - Establecer setpoint (ej: S25.5)
C - Activar/Desactivar control automático
HX.X - Ajustar histéresis (ej: H1.0)
Tiempo(s),Humedad(%),TempAHT(°C),TempLM35(°C),Setpoint(°C),Foco,Ventilador,Control
0.402,89.14,23.816,24.438,25.0,0,0,0
0.802,89.17,23.827,24.438,25.0,0,0,0
1.202,89.18,23.831,23.949,25.0,0,0,0
1.602,89.18,23.834,23.949,25.0,0,0,0
2.002,89.17,23.829,24.438,25.0,0,0,0
2.402,89.15,23.837,24.438,25.0,0,0,0
2.802,89.22,23.817,23.949,25.0,0,0,0
3.201,89.19,23.851,23.949,25.0,0,0,0
3.602,89.15,23.845,24.438,25.0,0,0,0
4.002,89.19,23.845,24.438,25.0,0,0,0
4.402,89.17,23.852,23.949,25.0,0,0,0
4.802,89.17,23.852,23.949,25.0,0,0,0
5.202,89.11,23.846,24.438,25.0,0,0,0
5.602,89.15,23.856,24.438,25.0,0,0,0
6.002,89.16,23.847,23.949,25.0,0,0,0
6.401,89.15,23.833,23.949,25.0,0,0,0
6.802,89.16,23.851,24.438,25.0,0,0,0
7.202,89.16,23.833,24.438,25.0,0,0,0
7.602,89.16,23.844,23.949,25.0,0,0,0
8.002,89.16,23.862,23.949,25.0,0,0,0
8.402,89.15,23.851,23.949,25.0,0,0,0
8.802,89.14,23.851,24.438,25.0,0,0,0
9.202,89.15,23.856,24.438,25.0,0,0,0
9.601,89.17,23.862,23.949,25.0,0,0,0
10.002,89.17,23.853,24.438,25.0,0,0,0
Comando no válido
11.280,89.14,23.840,23.949,25.0,0,0,0
11.680,89.19,23.856,24.438,25.0,0,0,0
12.080,89.16,23.860,23.949,25.0,0,0,0
12.480,89.16,23.846,24.438,25.0,0,0,0
12.880,89.16,23.842,24.438,25.0,0,0,0
13.280,89.17,23.843,24.438,25.0,0,0,0
13.680,89.13,23.836,23.949,25.0,0,0,0
14.080,89.16,23.850,23.949,25.0,0,0,0
14.480,89.09,23.847,24.438,25.0,0,0,0
14.880,89.13,23.838,24.438,25.0,0,0,0
15.280,89.16,23.853,24.438,25.0,0,0,0
15.680,89.16,23.843,24.438,25.0,0,0,0
Setpoint actualizado: 55.00
17.778,89.16,23.816,24.438,55.0,0,0,0
18.177,89.17,23.838,24.438,55.0,0,0,0
18.578,89.19,23.838,24.438,55.0,0,0,0
18.978,89.17,23.834,24.438,55.0,0,0,0
19.378,89.14,23.841,23.949,55.0,0,0,0
19.778,89.19,23.835,23.949,55.0,0,0,0
20.178,89.17,23.845,23.949,55.0,0,0,0
20.578,89.14,23.847,23.949,55.0,0,0,0
20.978,89.14,23.851,23.949,55.0,0,0,0
21.377,89.15,23.854,24.438,55.0,0,0,0
Control automático: ACTIVADO
22.360,89.18,23.830,24.438,55.0,1,0,1
22.758,89.87,23.857,24.927,55.0,1,0,1
23.158,89.92,23.914,24.927,55.0,1,0,1
23.558,89.99,23.973,24.927,55.0,1,0,1
23.958,90.05,24.030,24.438,55.0,1,0,1
24.358,90.13,24.092,24.927,55.0,1,0,1
24.758,90.16,24.144,24.927,55.0,1,0,1
25.158,90.20,24.193,24.927,55.0,1,0,1
25.558,90.20,24.242,24.927,55.0,1,0,1
25.958,90.20,24.268,24.927,55.0,1,0,1
26.358,90.23,24.308,24.927,55.0,1,0,1
26.758,90.25,24.368,24.927,55.0,1,0,1
27.158,90.25,24.393,24.927,55.0,1,0,1
27.558,90.24,24.451,24.927,55.0,1,0,1
27.958,90.22,24.495,25.415,55.0,1,0,1
28.358,90.21,24.531,24.927,55.0,1,0,1
28.758,90.19,24.566,25.415,55.0,1,0,1
29.158,90.21,24.597,24.927,55.0,1,0,1
29.558,90.19,24.636,25.415,55.0,1,0,1
29.958,90.13,24.679,25.415,55.0,1,0,1
30.358,90.13,24.706,25.415,55.0,1,0,1
30.758,90.10,24.762,25.415,55.0,1,0,1
31.158,90.10,24.799,25.415,55.0,1,0,1
31.558,90.04,24.821,25.415,55.0,1,0,1
31.958,90.04,24.867,25.415,55.0,1,0,1
32.358,90.00,24.918,25.415,55.0,1,0,1
32.758,89.94,24.945,25.415,55.0,1,0,1
33.158,89.93,24.973,25.415,55.0,1,0,1
33.558,89.86,25.018,25.415,55.0,1,0,1
33.958,89.83,25.050,25.904,55.0,1,0,1
34.358,89.83,25.088,25.415,55.0,1,0,1
34.758,89.79,25.140,25.415,55.0,1,0,1
35.158,89.75,25.154,25.415,55.0,1,0,1
35.558,89.71,25.196,25.904,55.0,1,0,1
35.958,89.69,25.241,25.415,55.0,1,0,1
36.358,89.69,25.276,25.904,55.0,1,0,1
36.758,89.62,25.297,25.415,55.0,1,0,1
37.158,89.58,25.334,25.415,55.0,1,0,1
37.558,89.54,25.388,25.904,55.0,1,0,1
37.958,89.50,25.434,25.904,55.0,1,0,1
38.358,89.48,25.438,25.904,55.0,1,0,1
38.758,89.42,25.482,25.415,55.0,1,0,1
39.158,89.38,25.514,24.927,55.0,1,0,1
39.558,89.32,25.563,25.904,55.0,1,0,1
39.958,89.30,25.589,25.904,55.0,1,0,1
40.358,89.26,25.635,25.904,55.0,1,0,1
40.758,89.18,25.647,25.904,55.0,1,0,1
41.158,89.16,25.684,26.393,55.0,1,0,1
41.558,89.15,25.732,25.904,55.0,1,0,1
41.958,89.06,25.758,25.904,55.0,1,0,1
42.358,89.04,25.794,25.904,55.0,1,0,1
42.758,89.02,25.844,25.904,55.0,1,0,1
43.158,88.96,25.878,25.904,55.0,1,0,1
43.558,88.91,25.905,26.393,55.0,1,0,1
43.958,88.90,25.929,25.904,55.0,1,0,1
44.358,88.84,25.970,26.393,55.0,1,0,1
44.758,88.79,26.010,26.393,55.0,1,0,1
45.158,88.73,26.051,26.393,55.0,1,0,1
45.558,88.71,26.077,26.393,55.0,1,0,1
45.958,88.67,26.111,25.904,55.0,1,0,1
46.358,88.63,26.146,26.393,55.0,1,0,1
46.758,88.55,26.182,26.393,55.0,1,0,1
47.158,88.57,26.210,26.393,55.0,1,0,1
47.558,88.51,26.244,26.393,55.0,1,0,1
47.958,88.46,26.293,26.882,55.0,1,0,1
48.358,88.42,26.323,26.393,55.0,1,0,1
48.758,88.35,26.358,26.393,55.0,1,0,1
49.158,88.36,26.397,26.393,55.0,1,0,1
49.558,88.30,26.424,26.393,55.0,1,0,1
49.958,88.23,26.467,26.393,55.0,1,0,1
50.358,88.22,26.512,26.393,55.0,1,0,1
50.758,88.14,26.528,26.882,55.0,1,0,1
51.158,88.09,26.570,26.882,55.0,1,0,1
51.558,88.07,26.602,26.882,55.0,1,0,1
51.958,88.02,26.634,26.393,55.0,1,0,1
52.358,87.98,26.677,26.393,55.0,1,0,1
52.758,87.91,26.695,26.882,55.0,1,0,1
53.158,87.86,26.736,26.882,55.0,1,0,1
53.558,87.87,26.754,26.393,55.0,1,0,1
53.958,87.84,26.798,26.393,55.0,1,0,1
54.358,87.75,26.835,26.882,55.0,1,0,1
54.758,87.73,26.863,26.882,55.0,1,0,1
55.158,87.66,26.904,26.882,55.0,1,0,1
55.558,87.65,26.930,26.882,55.0,1,0,1
55.958,87.58,26.960,26.882,55.0,1,0,1
56.358,87.52,27.009,26.882,55.0,1,0,1
56.758,87.52,27.039,26.882,55.0,1,0,1
57.158,87.46,27.055,26.393,55.0,1,0,1
57.558,87.46,27.088,26.882,55.0,1,0,1
57.958,87.40,27.124,26.882,55.0,1,0,1
58.358,87.35,27.169,26.882,55.0,1,0,1
58.758,87.31,27.212,26.882,55.0,1,0,1
59.158,87.28,27.232,27.370,55.0,1,0,1
59.558,87.23,27.283,27.370,55.0,1,0,1
59.958,87.17,27.305,27.370,55.0,1,0,1
60.358,87.08,27.343,26.882,55.0,1,0,1
60.758,87.07,27.377,27.370,55.0,1,0,1
61.158,87.01,27.402,27.859,55.0,1,0,1
61.558,86.92,27.438,26.882,55.0,1,0,1
61.958,86.89,27.482,27.370,55.0,1,0,1
62.358,86.83,27.525,26.882,55.0,1,0,1
62.758,86.79,27.559,27.370,55.0,1,0,1
63.158,86.74,27.578,27.370,55.0,1,0,1
63.558,86.61,27.607,27.370,55.0,1,0,1
63.958,86.60,27.639,27.370,55.0,1,0,1
64.358,86.56,27.682,27.370,55.0,1,0,1
64.758,86.49,27.704,27.370,55.0,1,0,1
65.158,86.44,27.724,27.370,55.0,1,0,1
65.558,86.38,27.769,27.370,55.0,1,0,1
65.958,86.37,27.794,27.370,55.0,1,0,1
66.358,86.29,27.832,27.859,55.0,1,0,1
66.758,86.19,27.873,27.370,55.0,1,0,1
67.158,86.16,27.905,27.859,55.0,1,0,1
67.558,86.09,27.943,27.370,55.0,1,0,1
67.958,86.02,27.977,27.370,55.0,1,0,1
68.358,85.97,28.008,27.859,55.0,1,0,1
